,gender,meaning,name,origin
0,m,AABRAHAM   m   Finnish (Rare)Finnish (Rare) form of ABRAHAM.,AABRAHAM,[Finnish (Rare)]
1,m,AADOLF   m   FinnishFinnish form of ADOLF.,AADOLF,[Finnish]
2,m,"AAGE   m   Danish, NorwegianDanish and Norwegian form of ÁKI.",AAGE,"[Danish, Norwegian]"
3,f,AALIS   f   Medieval FrenchOld French form of ALICE.,AALIS,[Medieval French]
4,f,AAMINA   f   ArabicVariant transcription of AMINAH  (1).,AAMINA,[Arabic]
5,m,"'AAMIR   m   ArabicMeans ""prosperous, substantial"" in Arabic.",'AAMIR,[Arabic]
6,f,"AAMU   f   FinnishMeans ""morning"" in Finnish.",AAMU,[Finnish]
7,m,AAPO   m   FinnishFinnish form of ABRAHAM.,AAPO,[Finnish]
8,m,AARNE   m   FinnishFinnish form of ARNE  (1).,AARNE,[Finnish]
9,m,"AARON   m   English, Jewish, Biblical, Biblical Latin, Biblical GreekFrom the Hebrew name אַהֲרֹן ('Aharon) which is most likely of unknown Egyptian origin. Other theories claim a Hebrew derivation, and suggest meanings such as ""high mountain"" or ""exalted"". In the Old Testament this name is borne by the older brother of Moses. He acted as a spokesman for his brother when they appealed to the pharaoh to release the Israelites from slavery. Aaron's rod produced miracles and plagues to intimidate the pharaoh. After the departure from Egypt and arrival at Mount Sinai, God installed Aaron as the first high priest of the Israelites and promised that his descendants would form the priesthood.... [more]",AARON,"[English, Jewish, Biblical, Biblical Latin, Biblical Greek]"
10,f,AARTHI   f   TamilTamil form of AARTI.,AARTHI,[Tamil]
11,m,AATAMI   m   FinnishFinnish form of ADAM.,AATAMI,[Finnish]
12,m,"AATTO   m   FinnishFinnish form of ADOLF. It also means ""eve, evening before"" in Finnish, as the day before an important holiday.",AATTO,[Finnish]
13,f,"AAVA   f   FinnishMeans ""wide, open"" in Finnish.",AAVA,[Finnish]
14,m,"ABADDON   m   BiblicalMeans ""ruin, destruction"" in Hebrew. In Revelation in the New Testament this is another name of the angel of the abyss.",ABADDON,[Biblical]
15,m,"'ABBAS   m   Arabic, PersianVariant transcription of ABBAS.",'ABBAS,"[Arabic, Persian]"
16,m,"ABBE   m   FrisianOriginally a short form of Germanic names beginning with the element adal meaning ""noble"".",ABBE,[Frisian]
17,f,ABBI   f   EnglishDiminutive of ABIGAIL.,ABBI,[English]
18,f,ABBY   f   EnglishDiminutive of ABIGAIL.,ABBY,[English]
19,m,"ABD AL-HAMID   m   ArabicMeans ""servant of the praised"" from Arabic عبد ال ('abd al) ""servant of the"" combined with حميد (hamid) ""praised"". This was the name of two sultans of the Ottoman Empire.",ABD AL-HAMID,[Arabic]
20,m,"ABD AL-KARIM   m   ArabicMeans ""servant of the generous"" from Arabic عبد ال ('abd al) ""servant of the"" combined with كريم (karim) ""generous"".",ABD AL-KARIM,[Arabic]
21,m,"ABD AL-LATIF   m   ArabicMeans ""servant of the gentle"" from Arabic عبد ال ('abd al) ""servant of the"" combined with لطيف (latif) ""gentle"".",ABD AL-LATIF,[Arabic]
22,m,"ABD AL-QADIR   m   ArabicMeans ""servant of the capable, powerful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with قادر (qadir) ""capable"". This was the name of a 19th-century Algerian resistance leader.",ABD AL-QADIR,[Arabic]
23,m,"ABD AL-RASHID   m   ArabicMeans ""servant of the rightly guided"" from Arabic عبد ال ('abd al) ""servant of the"" combined with رشد (rashid) ""rightly guided"".",ABD AL-RASHID,[Arabic]
24,m,ABDIAS   m   Biblical LatinForm of OBADIAH used in the Latin Old Testament.,ABDIAS,[Biblical Latin]
25,m,ABDOLLAH   m   PersianPersian form of ABD ALLAH.,ABDOLLAH,[Persian]
26,m,ABDULAH   m   BosnianBosnian form of ABD ALLAH.,ABDULAH,[Bosnian]
27,m,ABDUL-HAMID   m   ArabicVariant transcription of ABD AL-HAMID.,ABDUL-HAMID,[Arabic]
28,m,ABDÜLKADİR   m   TurkishTurkish form of ABD AL-QADIR.,ABDÜLKADİR,[Turkish]
29,m,"ABDULLAH   m   Arabic, Turkish, Malay, IndonesianVariant transcription of ABD ALLAH, as well as the regular Turkish, Malay and Indonesian form.",ABDULLAH,"[Arabic, Turkish, Malay, Indonesian]"
30,m,ABDULLO   m   TajikTajik form of ABD ALLAH.,ABDULLO,[Tajik]
31,m,ABDUL-RAHMAN   m   ArabicVariant transcription of ABD AL-RAHMAN.,ABDUL-RAHMAN,[Arabic]
32,m,ABDUR-RAHMAN   m   ArabicVariant transcription of ABD AL-RAHMAN.,ABDUR-RAHMAN,[Arabic]
33,m,ABDUWELI   m   UyghurUyghur form of ABD AL-WALI.,ABDUWELI,[Uyghur]
34, (2),"ABE  (2)   m   Frisian, DutchVariant of ABBE.",ABE  (2),"[Frisian, Dutch]"
35,f,ABEGAIL   f   English (Rare)Variant of ABIGAIL.,ABEGAIL,[English (Rare)]
36,m,"ABEL   m   English, French, Spanish, Portuguese, Georgian, Biblical, Biblical Latin, Biblical GreekFrom the Hebrew name הֶבֶל (Hevel) or הָבֶל (Havel) which meant ""breath"". In the Old Testament he is the second son of Adam and Eve, murdered out of envy by his brother Cain. In England, this name came into use during the Middle Ages, and it was common during the Puritan era.",ABEL,"[English, French, Spanish, Portuguese, Georgian, Biblical, Biblical Latin, Biblical Greek]"
37,f,ABELONE   f   DanishDanish form of APOLLONIA.,ABELONE,[Danish]
38,f,"ABENE   f   BasqueDerived from Basque abe meaning ""pillar"". It is a Basque equivalent of Pilar.",ABENE,[Basque]
39,m,ABENNER   m   Biblical GreekBiblical Greek form of ABNER.,ABENNER,[Biblical Greek]
40,m,ABESSA   m   Biblical GreekBiblical Greek form of ABISHAI.,ABESSA,[Biblical Greek]
41,f,"ABHA   f   Indian, HindiMeans ""splendour, light"" in Sanskrit.",ABHA,"[Indian, Hindi]"
42,m,"ABHIJEET   m   Indian, Hindi, Marathi, BengaliVariant transcription of ABHIJIT.",ABHIJEET,"[Indian, Hindi, Marathi, Bengali]"
43,m,"ABHILASH   m   Indian, Malayalam, HindiMeans ""desire, wish"" in Sanskrit.",ABHILASH,"[Indian, Malayalam, Hindi]"
44,m,"ABHINAV   m   Indian, Hindi, Marathi, Kannada, TeluguMeans ""young, fresh"" in Sanskrit.",ABHINAV,"[Indian, Hindi, Marathi, Kannada, Telugu]"
45,f,ABI   f   ScottishShort form of ABIGAIL.,ABI,[Scottish]
46,m,ABIAH   m & f   BiblicalVariant of ABIJAH which also appears in the English Bible.,ABIAH,[Biblical]
47,m,"ABIDEMI   m   Western African, YorubaMeans ""born during father's absence"" in Yoruba.",ABIDEMI,"[Western African, Yoruba]"
48,f,ABIGAIA   f   Biblical GreekGreek form of ABIGAIL.,ABIGAIA,[Biblical Greek]
49,f,"ABIGAIL   f   English, German, Biblical, Biblical LatinFrom the Hebrew name אֲבִיגָיִל ('Avigayil) meaning ""my father is joy"". In the Old Testament this is the name of Nabal's wife. After Nabal's death she became the third wife of King David.... [more]",ABIGAIL,"[English, German, Biblical, Biblical Latin]"
50,f,ABIGÉL   f   HungarianHungarian form of ABIGAIL.,ABIGÉL,[Hungarian]
51,m,"ABIJAH   m & f   BiblicalMeans ""my father is YAHWEH"" in Hebrew. In the Old Testament this is the name of several characters, both male and female, including the second king of Judah.",ABIJAH,[Biblical]
52,m,ABÍLIO   m   PortuguesePortuguese form of AVILIUS.,ABÍLIO,[Portuguese]
53,m,"ABIMAEL   m   BiblicalMeans ""my father is God"" in Hebrew. In the Old Testament he is listed as a descendant of Shem.",ABIMAEL,[Biblical]
54,m,"ABIMELECH   m   BiblicalMeans ""my father is king"" in Hebrew. This is the name of several characters in the Old Testament including a king of Gerar who takes Abraham's wife Sarah, but is forced by God to give her back.",ABIMELECH,[Biblical]
55,m,"ABIOYE   m   Western African, YorubaMeans ""born into royalty"" in Yoruba.",ABIOYE,"[Western African, Yoruba]"
56,m,ABISAI   m   Biblical LatinBiblical Latin form of ABISHAI.,ABISAI,[Biblical Latin]
57,m,"ABISHAI   m   BiblicalMeans ""my father is a gift"" in Hebrew. In the Old Testament he is one of King David's heroes.",ABISHAI,[Biblical]
58,f,"'ABLA   f   ArabicMeans ""full-figured"" in Arabic. The 7th-century Arabic poet Antara dedicated much of his poetry to a woman named Abla.",'ABLA,[Arabic]
59,m,ABOLFAZL   m   PersianPersian form of ABU AL-FADL.,ABOLFAZL,[Persian]
60,m,"ABRAAM   m   Biblical Greek, GeorgianBiblical Greek form of ABRAHAM, as well as a Georgian form.",ABRAAM,"[Biblical Greek, Georgian]"
61,m,ÁBRAHÁM   m   HungarianHungarian form of ABRAHAM.,ÁBRAHÁM,[Hungarian]
62, (1),"ABRAM  (1)   m   English, BiblicalMeans ""high father"" in Hebrew. In the Old Testament God changed Abram's name to Abraham (see Genesis 17:5).",ABRAM  (1),"[English, Biblical]"
63,m,ABRAMO   m   ItalianItalian form of ABRAHAM.,ABRAMO,[Italian]
64,m,"ABU   m   ArabicMeans ""father of"" in Arabic. This is commonly used as an element in a kunya, which is a type of Arabic nickname. The element is combined with the name of one of the bearer's children (usually the eldest son). In some cases the kunya is figurative, not referring to an actual child, as in the case of the Muslim caliph Abu Bakr.",ABU,[Arabic]
65,m,ABUBAKAR   m   Western AfricanForm of ABU BAKR used in western Africa.,ABUBAKAR,[Western African]
66,m,ABUL-FAZL   m   ArabicVariant transcription of ABU AL-FADL.,ABUL-FAZL,[Arabic]
67,f,"ACACIA   f   English (Rare)From the name of a type of tree, ultimately deriving from Greek ακη (ake) ""thorn, point"".",ACACIA,[English (Rare)]
68,f,"ACANTHA   f   Greek Mythology (Latinized)Latinized form of Greek Ακανθα (Akantha), which meant ""thorn, prickle"". In Greek legend she was a nymph loved by Apollo.",ACANTHA,[Greek Mythology (Latinized)]
69, (2),ACE  (2)   m   MacedonianMacedonian diminutive of ALEXANDER.,ACE  (2),[Macedonian]
70,m,ACHAB   m   Biblical LatinLatin form of AHAB used in some versions of the Vulgate.,ACHAB,[Biblical Latin]
71,m,"ACHAIKOS   m   Biblical Greek, Ancient GreekGreek form of ACHAICUS.",ACHAIKOS,"[Biblical Greek, Ancient Greek]"
72,m,ACHARD   m   Old NormanMedieval Norman form of EKKEHARD.,ACHARD,[Old Norman]
73,f,"ACHIENG   f   Eastern African, LuoFeminine form of OCHIENG.",ACHIENG,"[Eastern African, Luo]"
74,m,"ACHILLES   m   Greek Mythology (Latinized)From the Greek Αχιλλευς (Achilleus) which is of unknown meaning, perhaps derived from Greek αχος (achos) ""pain"" or else from the name of the Achelous River. This was the name of a warrior in Greek legend, one of the central characters in Homer's 'Iliad'. The bravest of the Greek heroes in the war against the Trojans, he was eventually killed by an arrow to his heel, the only vulnerable part of his body.",ACHILLES,[Greek Mythology (Latinized)]
75, (1),ACHIM  (1)   m   GermanGerman short form of JOACHIM.,ACHIM  (1),[German]
76,f,"ACHINOAM   f   Biblical Hebrew, HebrewHebrew form of AHINOAM.",ACHINOAM,"[Biblical Hebrew, Hebrew]"
77,m,"ACO   m   Macedonian, SerbianMacedonian and Serbian diminutive of ALEKSANDAR.",ACO,"[Macedonian, Serbian]"
78,f,"ADA   f   English, German, Polish, Hungarian, Italian, FinnishShort form of ADELAIDE and other names beginning with the same sound. This name was borne by Augusta Ada King (1815-1852), the Countess of Lovelace (known as Ada Lovelace), a daughter of Lord Byron. She was an assistant to Charles Babbage, the inventor of an early mechanical computer.",ADA,"[English, German, Polish, Hungarian, Italian, Finnish]"
79,f,"ADAEZE   f   Western African, IgboMeans ""king's daughter"" in Igbo.",ADAEZE,"[Western African, Igbo]"
80,m,ADAIR   m   English (Rare)From an English surname which was derived from the given name EDGAR.,ADAIR,[English (Rare)]
81,m,"ADALBERN   m   Ancient GermanicDerived from the Germanic elements adal ""noble"" and bern ""bear"".",ADALBERN,[Ancient Germanic]
82,m,"ADALBERTO   m   Italian, Spanish, PortugueseVariant of ALBERTO.",ADALBERTO,"[Italian, Spanish, Portuguese]"
83,m,"ADALFARUS   m   Ancient Germanic (Latinized)Derived from the Germanic elements adal ""noble"" and fara ""journey"".",ADALFARUS,[Ancient Germanic (Latinized)]
84,m,"ADALHARD   m   Ancient GermanicDerived from the Germanic elements adal ""noble"" and hard ""brave, hardy"". Saint Adalhard or Adalard was a cousin of Charlemagne who became a abbot of Corbie.",ADALHARD,[Ancient Germanic]
85,m,"ADALIA   m   BiblicalPossibly means ""YAHWEH is just"" in Hebrew. In the Old Testament this is the name of a son of Haman.",ADALIA,[Biblical]
86,m,ADALWOLF   m   Ancient GermanicOlder form of ADOLF.,ADALWOLF,[Ancient Germanic]
87,f,ADALYN   f   English (Modern)Variant of ADELINE using the popular name suffix lyn.,ADALYN,[English (Modern)]
88,m,ÁDÁM   m   HungarianHungarian form of ADAM.,ÁDÁM,[Hungarian]
89,f,ADAMINA   f   English (Rare)Feminine form of ADAM.,ADAMINA,[English (Rare)]
90,m,ADAMU   m   Old Church SlavicOld Slavic form of ADAM.,ADAMU,[Old Church Slavic]
91,f,"ADANNA   f   Western African, IgboMeans ""father's daughter"" in Igbo.",ADANNA,"[Western African, Igbo]"
92,m,ADÃO   m   PortuguesePortuguese form of ADAM.,ADÃO,[Portuguese]
93,m,"ADDE   m   FrisianOriginally a short form of Germanic names beginning with the element adal meaning ""noble"".",ADDE,[Frisian]
94,f,"ADDISON   f & m   EnglishFrom an English surname meaning ""son of ADAM"". Its recent popularity as a feminine name stems from its similarity in sound to Madison.",ADDISON,[English]
95, (2),ADDY  (2)   m   Medieval EnglishMedieval diminutive of ADAM.,ADDY  (2),[Medieval English]
96, (1),"ADE  (1)   m & f   Western African, YorubaMeans ""crown"" in Yoruba, also a short form of other Yoruba names beginning with this element.",ADE  (1),"[Western African, Yoruba]"
97,m,"ADEBAYO   m   Western African, YorubaMeans ""the crown meets joy"" in Yoruba.",ADEBAYO,"[Western African, Yoruba]"
98,m,"ADEBOWALE   m & f   Western African, YorubaMeans ""the crown has come home"" in Yoruba.",ADEBOWALE,"[Western African, Yoruba]"
99,m,"ADEGOKE   m   Western African, YorubaMeans ""the crown has been exalted"" in Yoruba.",ADEGOKE,"[Western African, Yoruba]"
100,m,ADEL   m   ArabicVariant transcription of ADIL.,ADEL,[Arabic]
101,f,"ADELA   f   English, Spanish, Romanian, Polish, Ancient GermanicOriginally a short form of names beginning with the Germanic element adal meaning ""noble"". Saint Adela was a 7th-century Frankish princess who founded a monastery at Pfazel in France. This name was also borne by a daughter of William the Conqueror.",ADELA,"[English, Spanish, Romanian, Polish, Ancient Germanic]"
102,f,ADÉLAÏDE   f   FrenchFrench form of ADELAIDE.,ADÉLAÏDE,[French]
103,f,ADELAIS   f   Ancient GermanicShortened form of ADALHEIDIS.,ADELAIS,[Ancient Germanic]
104,m,ADÉLARD   m   French (Quebec)French form of ADALHARD.,ADÉLARD,[French (Quebec)]
105,m,"ADELBERT   m   German, DutchGerman and Dutch variant of ADALBERT.",ADELBERT,"[German, Dutch]"
106,f,"ADELE   f   German, English, Italian, FinnishForm of ADÈLE.",ADELE,"[German, English, Italian, Finnish]"
107,f,"ADELIA   f   English, SpanishElaborated form of ADELA.",ADELIA,"[English, Spanish]"
108,f,"ADELINE   f   French, EnglishDiminutive of ADÈLE.",ADELINE,"[French, English]"
109,f,ADELLA   f   EnglishVariant of ADELA.,ADELLA,[English]
110,m,"ADELMAR   m   Ancient Germanic, Portuguese (Brazilian)From the Germanic elements adal ""noble"" and meri ""famous"".",ADELMAR,"[Ancient Germanic, Portuguese (Brazilian)]"
111,m,ADEM   m   TurkishTurkish form of ADAM.,ADEM,[Turkish]
112,m,ADEMARO   m   ItalianItalian form of Audamar (see OTMAR).,ADEMARO,[Italian]
113,m,ADEN   m   English (Modern)Variant of AIDAN.,ADEN,[English (Modern)]
114,m,"ADEODATUS   m   Late RomanLatin name meaning ""given by God"". This was the name of a son of Saint Augustine and two popes (who are also known by the related name Deusdedit).",ADEODATUS,[Late Roman]
115,m,"ADETOKUNBO   m & f   Western African, YorubaMeans ""the crown came from over the sea"" in Yoruba.",ADETOKUNBO,"[Western African, Yoruba]"
116,f,"ADHARA   f   AstronomyDerived from Arabic عذارى ('adhara) meaning ""maidens"". This is the name of the second brightest star (after Sirius) in the constellation Canis Major.",ADHARA,[Astronomy]
117, (1),"ADI  (1)   f & m   HebrewMeans ""jewel"" or ""ornament"" in Hebrew.",ADI  (1),[Hebrew]
118, (3),"ADI  (3)   m   German, RomanianDiminutive of ADOLF (German) or ADRIAN (Romanian) as well as other names beginning with the same sound.",ADI  (3),"[German, Romanian]"
119,m,"ADIL   m   ArabicMeans ""fair, honest, just"" from Arabic عدل ('adala) ""to act justly"".",ADIL,[Arabic]
120,f,ADİLE   f   TurkishTurkish feminine form of ADIL.,ADİLE,[Turkish]
121, (1),"ADINA  (1)   m & f   Biblical, Biblical Latin, Biblical Greek, HebrewFrom Hebrew עֲדִינָא ('adina') meaning ""slender, delicate"". This name is borne by a soldier in the Old Testament. It is also used in modern Hebrew as a feminine name, typically spelled עֲדִינָה.",ADINA  (1),"[Biblical, Biblical Latin, Biblical Greek, Hebrew]"
122,m,'ADINAH   m   Biblical HebrewHebrew form of ADINA  (1).,'ADINAH,[Biblical Hebrew]
123,m,"ADIR   m   HebrewMeans ""strong, mighty"" in Hebrew. This word is used in the Hebrew Bible to describe God.",ADIR,[Hebrew]
124,f,"ADITI   f   Hinduism, Indian, Hindi, Marathi, Bengali, KannadaMeans ""boundless, entire"" or ""freedom, security"" in Sanskrit. This is the name of an ancient Hindu goddess of the sky and fertility. According to the Vedas she is the mother of the gods.",ADITI,"[Hinduism, Indian, Hindi, Marathi, Bengali, Kannada]"
125,f,"ADJOA   f   Western African, AkanVariant of ADWOA.",ADJOA,"[Western African, Akan]"
126,m,"ADNAN   m   Arabic, Turkish, Bosnian, UrduMeans ""settler"" in Arabic. According to tradition, Adnan was an ancestor of the Prophet Muhammad and the northern Arabian tribes.",ADNAN,"[Arabic, Turkish, Bosnian, Urdu]"
127,m,ADOLFITO   m   SpanishSpanish diminutive of ADOLFO.,ADOLFITO,[Spanish]
128,m,"ADOLPH   m   EnglishEnglish form of ADOLF, rarely used since World War II.",ADOLPH,[English]
129,m,ADOLPHUS   m   Ancient Germanic (Latinized)Latinized form of ADOLF.,ADOLPHUS,[Ancient Germanic (Latinized)]
130,m,"ADONAI   m   TheologyMeans ""my lord"" in Hebrew. This was the title used to refer to the God of the Israelites, Yahweh, whose name was forbidden to be spoken.",ADONAI,[Theology]
131,m,"ADONIRAM   m   BiblicalMeans ""my lord is exalted"" in Hebrew. In the Old Testament this is the name of an overseer of tribute under the kings David, Solomon and Rehoboam. He was stoned to death when the Israelites revolted.",ADONIRAM,[Biblical]
132,m,'ADONIYAH   m   Biblical HebrewHebrew form of ADONIJAH.,'ADONIYAH,[Biblical Hebrew]
133,f,"ADORACIÓN   f   SpanishMeans ""adoration"" in Spanish. This name refers to the event that is known in Christian tradition as the Adoration of the Magi, which is when the three Magi presented gifts to the infant Jesus and worshipped him.",ADORACIÓN,[Spanish]
134,m,ADORJÁN   m   HungarianHungarian form of ADRIAN.,ADORJÁN,[Hungarian]
135,f,ADRASTEIA   f   Greek MythologyFeminine form of ADRASTOS. In Greek mythology this name was borne by a nymph who fostered the infant Zeus. This was also another name of the goddess Nemesis.,ADRASTEIA,[Greek Mythology]
136,f,ADRIA   f   EnglishShort form of ADRIANA.,ADRIA,[English]
137,m,ADRIAAN   m   DutchDutch form of ADRIAN.,ADRIAAN,[Dutch]
138,m,"ADRIAN   m   English, Romanian, Polish, German, Swedish, Norwegian, Danish, RussianForm of Hadrianus (see HADRIAN). Several saints and six popes have borne this name, including the only English pope, Adrian IV, and the only Dutch pope, Adrian VI. As an English name, it has been in use since the Middle Ages, though it was not popular until modern times.",ADRIAN,"[English, Romanian, Polish, German, Swedish, Norwegian, Danish, Russian]"
139,f,"ADRIANNA   f   English, PolishFeminine form of ADRIAN.",ADRIANNA,"[English, Polish]"
140,m,"ADRIANO   m   Italian, PortugueseItalian and Portuguese form of ADRIAN.",ADRIANO,"[Italian, Portuguese]"
141,m,ADRIEN   m   FrenchFrench form of ADRIAN.,ADRIEN,[French]
142,f,ADRIENNE   f   FrenchFrench feminine form of ADRIAN.,ADRIENNE,[French]
