,gender,meaning,name,origin
0,m,Finnish (Rare) form of ABRAHAM.,AABRAHAM,[Finnish (Rare)]
1,m,Finnish form of ADOLF.,AADOLF,[Finnish]
2,m,Danish and Norwegian form of ÁKI.,AAGE,"[Danish, Norwegian]"
3,f,Old French form of ALICE.,AALIS,[Medieval French]
4,f,Variant transcription of AMINAH  (1).,AAMINA,[Arabic]
5,m,"Means ""prosperous, substantial"" in Arabic.",'AAMIR,[Arabic]
6,f,"Means ""morning"" in Finnish.",AAMU,[Finnish]
7,m,Finnish form of ABRAHAM.,AAPO,[Finnish]
8,m,Finnish form of ARNE  (1).,AARNE,[Finnish]
9,m,"From the Hebrew name אַהֲרֹן ('Aharon) which is most likely of unknown Egyptian origin. Other theories claim a Hebrew derivation, and suggest meanings such as ""high mountain"" or ""exalted"". In the Old Testament this name is borne by the older brother of Moses. He acted as a spokesman for his brother when they appealed to the pharaoh to release the Israelites from slavery. Aaron's rod produced miracles and plagues to intimidate the pharaoh. After the departure from Egypt and arrival at Mount Sinai, God installed Aaron as the first high priest of the Israelites and promised that his descendants would form the priesthood.... [more]",AARON,"[English, Jewish, Biblical, Biblical Latin, Biblical Greek]"
10,f,Tamil form of AARTI.,AARTHI,[Tamil]
11,m,Finnish form of ADAM.,AATAMI,[Finnish]
12,m,"Finnish form of ADOLF. It also means ""eve, evening before"" in Finnish, as the day before an important holiday.",AATTO,[Finnish]
13,f,"Means ""wide, open"" in Finnish.",AAVA,[Finnish]
14,m,"Means ""ruin, destruction"" in Hebrew. In Revelation in the New Testament this is another name of the angel of the abyss.",ABADDON,[Biblical]
15,m,Variant transcription of ABBAS.,'ABBAS,"[Arabic, Persian]"
16,m,"Originally a short form of Germanic names beginning with the element adal meaning ""noble"".",ABBE,[Frisian]
17,f,Diminutive of ABIGAIL.,ABBI,[English]
18,f,Diminutive of ABIGAIL.,ABBY,[English]
19,m,"Means ""servant of the praised"" from Arabic عبد ال ('abd al) ""servant of the"" combined with حميد (hamid) ""praised"". This was the name of two sultans of the Ottoman Empire.",ABD AL-HAMID,[Arabic]
20,m,"Means ""servant of the generous"" from Arabic عبد ال ('abd al) ""servant of the"" combined with كريم (karim) ""generous"".",ABD AL-KARIM,[Arabic]
21,m,"Means ""servant of the gentle"" from Arabic عبد ال ('abd al) ""servant of the"" combined with لطيف (latif) ""gentle"".",ABD AL-LATIF,[Arabic]
22,m,"Means ""servant of the capable, powerful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with قادر (qadir) ""capable"". This was the name of a 19th-century Algerian resistance leader.",ABD AL-QADIR,[Arabic]
23,m,"Means ""servant of the rightly guided"" from Arabic عبد ال ('abd al) ""servant of the"" combined with رشد (rashid) ""rightly guided"".",ABD AL-RASHID,[Arabic]
24,m,Form of OBADIAH used in the Latin Old Testament.,ABDIAS,[Biblical Latin]
25,m,Persian form of ABD ALLAH.,ABDOLLAH,[Persian]
26,m,Bosnian form of ABD ALLAH.,ABDULAH,[Bosnian]
27,m,Variant transcription of ABD AL-HAMID.,ABDUL-HAMID,[Arabic]
28,m,Turkish form of ABD AL-QADIR.,ABDÜLKADİR,[Turkish]
29,m,"Variant transcription of ABD ALLAH, as well as the regular Turkish, Malay and Indonesian form.",ABDULLAH,"[Arabic, Turkish, Malay, Indonesian]"
30,m,Tajik form of ABD ALLAH.,ABDULLO,[Tajik]
31,m,Variant transcription of ABD AL-RAHMAN.,ABDUL-RAHMAN,[Arabic]
32,m,Variant transcription of ABD AL-RAHMAN.,ABDUR-RAHMAN,[Arabic]
33,m,Uyghur form of ABD AL-WALI.,ABDUWELI,[Uyghur]
34,m,Variant of ABBE.,ABE  (2),"[Frisian, Dutch]"
35,f,Variant of ABIGAIL.,ABEGAIL,[English (Rare)]
36,m,"From the Hebrew name הֶבֶל (Hevel) or הָבֶל (Havel) which meant ""breath"". In the Old Testament he is the second son of Adam and Eve, murdered out of envy by his brother Cain. In England, this name came into use during the Middle Ages, and it was common during the Puritan era.",ABEL,"[English, French, Spanish, Portuguese, Georgian, Biblical, Biblical Latin, Biblical Greek]"
37,f,Danish form of APOLLONIA.,ABELONE,[Danish]
38,f,"Derived from Basque abe meaning ""pillar"". It is a Basque equivalent of Pilar.",ABENE,[Basque]
39,m,Biblical Greek form of ABNER.,ABENNER,[Biblical Greek]
40,m,Biblical Greek form of ABISHAI.,ABESSA,[Biblical Greek]
41,f,"Means ""splendour, light"" in Sanskrit.",ABHA,"[Indian, Hindi]"
